Comparison,Target,Name,MOA,Phase
Gene list,HTR2C,WAY-629,serotonin receptor agonist,Preclinical
Gene list,HTR2C,WAY-161503,serotonin receptor agonist,Preclinical
Gene list,IDH1,AGI-5198,isocitrate dehydrogenase inhibitor,Preclinical
Gene list,IDH1,enasidenib,isocitrate dehydrogenase inhibitor,Launched
Gene list,IDH1,ivosidenib,isocitrate dehydrogenase inhibitor,Launched
Gene list,IDH2,AGI-6780,isocitrate dehydrogenase inhibitor,Preclinical
Gene list,IMPA1,L-690330,inositol monophosphatase inhibitor,Preclinical
Gene list,JAK1,itacitinib,JAK inhibitor,Phase 3
Gene list,JAK1,solcitinib,JAK inhibitor,Phase 1
Gene list,KCND3,NS-5806,voltage-gated potassium channel activator,Preclinical
Gene list,KCNH2,tecastemizole,histamine receptor antagonist,Phase 3
Gene list,KCNH2,AZD5438,CDK inhibitor,Phase 1
Gene list,KCNH2,betrixaban,coagulation factor inhibitor,Launched
Gene list,KCNH2,PD-118057,potassium channel activator,Preclinical
Gene list,KCNH2,ginsenoside-RE3,"angiogenesis inhibitor, apoptosis stimulant",Launched
Gene list,KCNH2,NS-3623,voltage-gated potassium channel activator,Preclinical
Gene list,KEAP1,dimethyl-fumarate,"nuclear factor erythroid derived, like (NRF2) activator",Launched
Gene list,LDHA,GSK2837808A,lactate dehydrogenase inhibitor,Preclinical
Gene list,LDHA,NHI-2,lactate dehydrogenase inhibitor,Preclinical
Gene list,LTF,parecoxib,cyclooxygenase inhibitor,Launched
Gene list,MAOA,pirlindole,monoamine oxidase inhibitor,Launched
Gene list,MAOA,BW-616U,monoamine oxidase inhibitor,Preclinical
Gene list,MAOA,clorgiline,monoamine oxidase inhibitor,Phase 2
Gene list,MAOA,tetrindole,monoamine oxidase inhibitor,Phase 3
Gene list,MAOA,eprobemide,monoamine oxidase inhibitor,Launched
Gene list,MAOB,milacemide,monoamine oxidase inhibitor,Phase 3
Gene list,MAOB,safinamide,"dopamine reuptake inhibitor, glutamate inhibitor, monoamine oxidase inhibitor",Launched
Gene list,MAOB,lazabemide,monoamine oxidase inhibitor,Phase 3
Gene list,MAPK1,VX-11e,MAP kinase inhibitor,Preclinical
Gene list,MAPK3,CID-5458317,MAP kinase phosphatase inhibitor,Preclinical
Gene list,MYBPC3,omecamtiv-mecarbil,cardiac myosin activator,Phase 3
Gene list,NFE2L2,RTA-408,nitric oxide production inhibitor,Phase 2
Gene list,NFE2L2,NK-252,"nuclear factor erythroid derived, like (NRF2) activator",Preclinical
Gene list,NFE2L2,sulforaphane,"anticancer agent, aryl hydrocarbon receptor antagonist",Phase 2
Gene list,NR5A1,SID-7969543,steroidogenic factor antagonist,Preclinical
Gene list,OXCT1,thiomersal,other antibiotic,Launched
Gene list,P2RX3,Ro-3,purinergic receptor antagonist,Preclinical
Gene list,P2RX3,A-317491,purinergic receptor antagonist,Preclinical
Gene list,PDE5A,exisulind,phosphodiesterase inhibitor,Phase 3
Gene list,PDE5A,MY-5445,"phosphodiesterase inhibitor, platelet aggregation inhibitor",Preclinical
Gene list,PDE5A,trequinsin,phosphodiesterase inhibitor,Phase 1
Gene list,PDE5A,mirodenafil,phosphodiesterase inhibitor,Launched
Gene list,PDE5A,icariin,phosphodiesterase inhibitor,Phase 3
Gene list,PDE5A,T-0156,phosphodiesterase inhibitor,Preclinical
Gene list,PDE5A,PF-03049423,phosphodiesterase inhibitor,Phase 2
Gene list,PDE5A,icaritin,PPAR receptor antagonist,Phase 3
Gene list,PDE5A,avanafil,phosphodiesterase inhibitor,Launched
Gene list,PDHA1,CPI-613,pyruvate dehydrogenase inhibitor,Phase 3
Gene list,PDK1,AZD7545,pyruvate dehydrogenase kinase inhibitor,Phase 1
Gene list,PGD,gadopentetic-acid,contrast agent,Launched
Gene list,PGRMC1,SM-21,sigma receptor antagonist,Preclinical
Gene list,PIK3CA,GDC-0349,Pim kinase inhibitor,Phase 1
Gene list,PIK3CA,A66,PI3K inhibitor,Preclinical
Gene list,PIK3CA,MLN1117,PI3K inhibitor,Phase 2
Gene list,PIK3CA,taselisib,PI3K inhibitor,Phase 3
Gene list,PLA2G4A,PACOCF3,phospholipase inhibitor,Preclinical
Gene list,PLK1,GSK461364,PLK inhibitor,Phase 1
Gene list,PLK1,volasertib,PLK inhibitor,Phase 3
Gene list,PLK1,rigosertib,"cell cycle inhibitor, PLK inhibitor",Phase 3
Gene list,PLK1,TAK-960,PLK inhibitor,Phase 1
Gene list,PLK1,HMN-214,PLK inhibitor,Phase 1
Gene list,PLK1,SBE-13,PLK inhibitor,Preclinical
Gene list,POLR2A,dactinomycin,RNA polymerase inhibitor,Launched
Gene list,PRMT5,HLCL-61,protein arginine N-methyltransferase inhibitor,Preclinical
Gene list,PRMT5,EPZ015666,protein arginine N-methyltransferase inhibitor,Preclinical
Gene list,PTGER1,limaprost-alfadex,prostanoid receptor agonist,Launched
Gene list,PTGER1,ONO-8130,prostanoid receptor antagonist,Preclinical
Gene list,PTGER1,SC-51089,prostanoid receptor antagonist,Preclinical
Gene list,PTGER1,SC-19220,prostanoid receptor antagonist,Preclinical
Gene list,PTGS2,vedaprofen,anti-inflammatory agent,Launched
Gene list,PTGS2,azapropazone,cyclooxygenase inhibitor,Withdrawn
Gene list,PTGS2,loxoprofen,"cyclooxygenase inhibitor, prostanoid receptor antagonist",Launched
Gene list,PTGS2,aceclofenac,prostanoid receptor antagonist,Launched
Gene list,PTGS2,NO-ASA,cyclooxygenase inhibitor,Phase 2
Gene list,PTGS2,propacetamol,cyclooxygenase inhibitor,Launched
Gene list,PTGS2,etodolac,cyclooxygenase inhibitor,Launched
Gene list,PTGS2,deracoxib,cyclooxygenase inhibitor,Launched
Gene list,PTGS2,DUP-697,cyclooxygenase inhibitor,Phase 1
Gene list,PTGS2,firocoxib,cyclooxygenase inhibitor,Launched
Gene list,PTGS2,carprofen,cyclooxygenase inhibitor,Launched
Gene list,PTGS2,iguratimod,"cyclooxygenase inhibitor, NFkB pathway inhibitor",Launched
Gene list,PTGS2,SC-236,cyclooxygenase inhibitor,Preclinical
Gene list,PTGS2,pterostilbene,"cyclooxygenase inhibitor, PPAR receptor agonist",Phase 2/Phase 3
Gene list,PTGS2,asaraldehyde,cyclooxygenase inhibitor,Preclinical
Gene list,PTGS2,FK-3311,cyclooxygenase inhibitor,Phase 2
Gene list,PTGS2,etoricoxib,cyclooxygenase inhibitor,Launched
Gene list,PTGS2,ginsenoside-C-K,"NFkB pathway inhibitor, nitric oxide synthase inhibitor",Phase 1
Gene list,PTGS2,tiaprofenic-acid,cyclooxygenase inhibitor,Launched
Gene list,PTGS2,rutaecarpine,cyclooxygenase inhibitor,Preclinical
Gene list,PTPMT1,alexidine,phosphatidylglycerophosphatase inhibitor,Preclinical
Gene list,PYGM,sodium-monofluorophosphate,,Launched
Gene list,PYGM,asiatic-acid,apoptosis stimulant,Preclinical
Gene list,PYGM,maribavir,"cytomegalovirus inhibitor, protein kinase inhibitor",Phase 3
Gene list,PYGM,NSC-4644,"ACAT inhibitor, sterol regulatory element binding protein (SREBP) inhibitor",Phase 2
Gene list,RELA,NFKB-activation-inhibitor-II,NFkB pathway inhibitor,Preclinical
Gene list,RELA,BAY-11-7082,NFkB pathway inhibitor,Preclinical
Gene list,RELA,triptolide,RNA polymerase inhibitor,Phase 3
Gene list,RELA,caffeic-acid-phenethyl-ester,HIV integrase inhibitor,Preclinical
Gene list,RIPK2,necrostatin-2,"necroptosis inhibitor, RIPK inhibitor",Preclinical
Gene list,ROCK1,SAR407899,rho associated kinase inhibitor,Phase 2
Gene list,ROCK1,GSK429286A,rho associated kinase inhibitor,Preclinical
Gene list,ROCK1,AS-1892802,rho associated kinase inhibitor,Preclinical
Gene list,RPS6KB1,PF-4708671,ribosomal protein inhibitor,Preclinical
Gene list,RPS6KB1,LY2584702,ribosomal protein inhibitor,Phase 1
Gene list,RXRA,PA-452,retinoid receptor antagonist,Preclinical
Gene list,RXRA,BMS-649,retinoid receptor agonist,Preclinical
Gene list,RXRA,peretinoin,retinoid receptor agonist,Phase 3
Gene list,SLC12A5,VU0240551,potassium/chloride cotransporter inhibitor,Preclinical
Gene list,SLC37A4,chlorogenic-acid,antioxidant,Launched
Gene list,SLC9A1,zoniporide,sodium/hydrogen exchanger inhibitor,Phase 3
Gene list,SLC9A1,cariporide,sodium/hydrogen exchanger inhibitor,Phase 3
Gene list,SMYD2,AZ505,histone lysine methyltransferase inhibitor,Preclinical
Gene list,SNCA,SMER-28,autophagy inducer,Preclinical
Gene list,SOAT1,YM-750,ACAT inhibitor,Phase 1
Gene list,SORT1,AF38469,sortilin inhibitor,Preclinical
Gene list,STAT3,WP1066,STAT inhibitor,Phase 1
Gene list,STAT3,ochromycinone,STAT inhibitor,Phase 1
Gene list,STAT3,napabucasin,STAT inhibitor,Phase 3
Gene list,STAT3,STAT3-inhibitor-VI,STAT inhibitor,Preclinical
Gene list,STAT3,alantolactone,"apoptosis stimulant, STAT inhibitor",Preclinical
Gene list,STAT3,meisoindigo,STAT inhibitor,Phase 3
Gene list,STAT3,cryptotanshinone,"acetylcholinesterase inhibitor, STAT inhibitor",Preclinical
Gene list,STAT3,niclosamide,"DNA replication inhibitor, STAT inhibitor",Launched
Gene list,TACR1,netupitant,tachykinin antagonist,Launched
Gene list,TACR1,maropitant,neurokinin receptor antagonist,Launched
Gene list,TACR1,L-733060,tachykinin antagonist,Preclinical
Gene list,TACR1,SR-140333,neurokinin receptor antagonist,Phase 2
Gene list,TACR1,fosaprepitant-dimeglumine,tachykinin antagonist,Launched
Gene list,TACR1,AV-608,tachykinin antagonist,Phase 2
Gene list,TACR1,"[sar9,met(o2)11]-substance-p",tachykinin antagonist,Preclinical
Gene list,TACR1,CP-99994,tachykinin antagonist,Phase 2
Gene list,TACR1,L-760735,tachykinin antagonist,Preclinical
Gene list,TACR1,aprepitant,tachykinin antagonist,Launched
Gene list,TACR1,SDZ-NKT-343,tachykinin antagonist,Phase 1
Gene list,TGM2,GK921,transglutaminase inhibitor,Preclinical
Gene list,TGM2,LDN-27219,tissue transglutaminase inhibitor,Preclinical
Gene list,TH,metirosine,tyrosine hydroxylase inhibitor,Launched
Gene list,TNFSF10,ONC201,"AKT inhibitor, MAP kinase inhibitor",Phase 2
Gene list,TNK2,AIM-100,tyrosine kinase inhibitor,Preclinical
Gene list,TRPM8,TC-I-2000,transient receptor potential channel antagonist,Preclinical
Gene list,TRPM8,RQ-00203078,transient receptor potential channel antagonist,Preclinical
Gene list,TRPM8,M8-B,transient receptor potential channel antagonist,Preclinical
Gene list,TRPM8,TC-I-2014,transient receptor potential channel antagonist,Preclinical
Gene list,TRPV4,HC-067047,transient receptor potential channel antagonist,Preclinical
Gene list,TRPV4,RN-1734,TRPV antagonist,Preclinical
Gene list,TRPV4,RN-1747,TRPV agonist,Preclinical
Gene list,TRPV4,GSK2193874,transient receptor potential channel antagonist,Preclinical
Gene list,UGT1A6,deferiprone,chelating agent,Launched
Gene list,USP1,ML323,ubiquitin specific protease inhibitor,Preclinical
Gene list,USP14,IU1,ubiquitin C-terminal hydrolase inhibitor,Preclinical
Gene list,UTS2R,SB-657510,urotensin receptor antagonist,Preclinical
Gene list,UTS2R,palosuran,urotensin receptor antagonist,Phase 2
Gene list,UTS2R,AC-7954-(+/-),urotensin receptor agonist,Preclinical
Gene list,UTS2R,SB-706375,urotensin receptor antagonist,Preclinical
Gene list,UTS2R,GSK1562590,urotensin receptor antagonist,Preclinical
Gene list,VDAC2,erastin,ion channel antagonist,Preclinical
Gene list,WEE1,PD-407824,PKC inhibitor,Preclinical
Gene list,WEE1,MK-1775,WEE1 kinase inhibitor,Phase 2
