SYMBOL	adj.P.Val	P.Value	logFC
Pigq	0.0463	0.00165921	-0.751939
Insig1	0.1613	0.03931601	-0.751174
Ace	0.1492	0.0337249	-0.750344
2310047D13Rik	0.1054	0.01621376	-0.750259
Kif1a	0.1291	0.02523846	-0.749101
Stat4	0.1546	0.03607321	-0.748423
Irf1	0.068	0.00567237	-0.748145
Zfp513	0.0677	0.00557973	-0.748071
Rxra	0.1492	0.03373639	-0.747949
Tomm34	0.1556	0.03645935	-0.746675
Capns1	0.1686	0.04246185	-0.74656
6330583M11Rik	0.1055	0.01626855	-0.746354
Notch3	0.0948	0.01266211	-0.746323
Tspan17	0.0621	0.00422077	-0.745865
Akap2	0.1097	0.01768016	-0.7454
Fxyd5	0.111	0.01824834	-0.745188
Abhd5	0.0719	0.0065066	-0.744881
Cpsf1	0.0819	0.0090832	-0.742917
Irx3	0.1628	0.03988265	-0.74275
Cdc23	0.0612	0.00394821	-0.740896
Bst2	0.1558	0.03657467	-0.739078
C130052I12Rik	0.0612	0.00393112	-0.737688
Dapk1	0.057	0.00319475	-0.737138
Ncapd2	0.1527	0.03527092	-0.73636
Smyd3	0.1687	0.04261678	-0.735566
E2f3	0.1524	0.03500315	-0.735461
Manba	0.0946	0.01252423	-0.734879
Ostm1	0.0646	0.00473105	-0.734485
Erlin2	0.0832	0.00937375	-0.733645
Paox	0.1297	0.02560337	-0.732497
Tnfsf13b	0.1321	0.02671448	-0.732474
Ostf1	0.1277	0.02474685	-0.731816
Cln5	0.057	0.00315809	-0.731634
Sptlc1	0.0515	0.00226643	-0.73126
4632404H22Rik	0.1686	0.04246532	-0.73104
BC003236	0.1603	0.03874697	-0.729745
Atp6v0a1	0.0489	0.00199589	-0.729651
Sgta	0.0579	0.00330181	-0.729427
AW046396	0.1263	0.02415405	-0.728865
Stx18	0.1703	0.04343528	-0.728744
Aif1	0.1497	0.03397436	-0.727566
Ghr	0.1486	0.03346192	-0.725851
4933439C20Rik	0.0616	0.00401793	-0.725761
Ivd	0.1125	0.01885405	-0.72522
Nbl1	0.0522	0.00241535	-0.724259
Sqstm1	0.1238	0.02316271	-0.72382
Igfbp4	0.0985	0.01395045	-0.722629
Stard5	0.1587	0.03775541	-0.722448
G6pdx	0.0849	0.00975726	-0.72175
Tulp4	0.0819	0.00906364	-0.720801
Gsto2	0.1745	0.04542283	-0.720153
Tmem77	0.1559	0.03663881	-0.71848
Pxmp4	0.1004	0.01459926	-0.718127
Apaf1	0.1745	0.04565242	-0.717726
Fez2	0.1233	0.02291133	-0.717381
Slc25a30	0.1457	0.0319443	-0.717116
BC003479	0.0974	0.01341753	-0.716866
Rbms2	0.1697	0.04310702	-0.716374
Plekhb2	0.1284	0.02497602	-0.715988
Mrpl9	0.1458	0.03207776	-0.715692
Bscl2	0.0888	0.01082627	-0.715412
Arhgap1	0.1694	0.04290859	-0.71538
Zfp787	0.1767	0.04675086	-0.715375
Vamp5	0.173	0.04472328	-0.714919
Ets1	0.1231	0.02278459	-0.713735
1810014L12Rik	0.1054	0.01618693	-0.71318
Trp53	0.0893	0.01096567	-0.713136
Tubb2b	0.1158	0.01999359	-0.712793
Gosr2	0.0815	0.00895993	-0.711476
Gyg1	0.111	0.01818342	-0.710067
BC027342	0.1282	0.02489392	-0.709575
Cbr1	0.0744	0.00709656	-0.709108
5730410E15Rik	0.0668	0.00535859	-0.708946
Pla2g12a	0.0921	0.0118244	-0.706704
Gmfg	0.0915	0.01156257	-0.70653
Cmtm7	0.0653	0.00486433	-0.705576
Tk2	0.118	0.02084666	-0.704525
Tmem49	0.13	0.02581006	-0.702734
Gle1l	0.1748	0.04586856	-0.701729
Cyb5r3	0.0822	0.00918084	-0.701363
Slc7a2	0.1427	0.03085749	-0.700837
Apbb2	0.0946	0.01249448	-0.699019
2400001E08Rik	0.0738	0.0069542	-0.697485
Ggta1	0.1204	0.02179856	-0.697429
Irf1	0.0736	0.00688503	-0.693614
2310008H09Rik	0.1302	0.02591097	-0.69324
Sfxn1	0.0659	0.00504842	-0.692184
Fah	0.0714	0.00641496	-0.691825
Sc4mol	0.116	0.02008972	-0.691793
4632413K17Rik	0.0529	0.0024729	-0.689509
Gnpat	0.1197	0.02149389	-0.68791
1810044O22Rik	0.0734	0.00685076	-0.687836
LOC434858	0.1785	0.04763865	-0.68706
Rab32	0.1381	0.02897358	-0.686955
Naglu	0.0905	0.01130458	-0.686929
Foxred1	0.1683	0.04228226	-0.686493
Scotin	0.0622	0.00426481	-0.686475
Pgd	0.1495	0.03385345	-0.686259
Hist2h2aa1	0.1525	0.03505789	-0.686236
Traf6	0.1129	0.01906285	-0.68606
Cln3	0.0915	0.01162061	-0.685112
Acox3	0.0853	0.00992418	-0.685024
Acadm	0.1303	0.02599638	-0.683913
Il27ra	0.0848	0.00971837	-0.683884
0610010E21Rik	0.1027	0.01519202	-0.683081
Ap1b1	0.0988	0.01407881	-0.683003
Gm237	0.0804	0.00858592	-0.682913
Sfxn1	0.0907	0.0113412	-0.682252
Rab1b	0.0845	0.00963877	-0.682009
2210012G02Rik	0.1319	0.02665372	-0.681547
Btg1	0.0946	0.01252879	-0.681289
A930016D02Rik	0.0824	0.00923016	-0.679397
Nr1h3	0.1754	0.04617946	-0.678855
Zfp428	0.1291	0.02527736	-0.676582
C630016B22Rik	0.0838	0.00950697	-0.675004
Trappc3	0.0668	0.00534258	-0.674968
Ankrd27	0.0744	0.00713253	-0.674125
Hoxa5	0.116	0.02012689	-0.673886
2310047C17Rik	0.0948	0.01264857	-0.673277
1810031K02Rik	0.0577	0.00326948	-0.672593
Nsf	0.1196	0.02139124	-0.671268
Tbc1d5	0.1604	0.03884869	-0.670887
BC006779	0.0666	0.0053274	-0.669597
Lypla3	0.0542	0.00264023	-0.669338
Camk1	0.0913	0.01149221	-0.669276
BB128963	0.0883	0.01070124	-0.669228
BC067047	0.1283	0.02492345	-0.66724
Slc39a12	0.1592	0.03817526	-0.666721
Cln2	0.106	0.016417	-0.666394
Ndrl	0.0856	0.00997532	-0.666391
Brunol4	0.1475	0.03279326	-0.666349
Ift88	0.1284	0.02497501	-0.665847
9930017A07Rik	0.1589	0.03800626	-0.665574
Psmd8	0.0968	0.01324194	-0.664839
1810073N04Rik	0.124	0.02326669	-0.664606
Amdhd2	0.0621	0.0041643	-0.664567
Afmid	0.1659	0.04131572	-0.664014
Rragc	0.0529	0.00247085	-0.662921
Rtn1	0.1158	0.01999052	-0.662551
Arf5	0.118	0.02081674	-0.662454
EG622339	0.1233	0.02285538	-0.662298
Fmo1	0.1276	0.02462485	-0.662159
5730437N04Rik	0.1385	0.02917382	-0.660864
Ptplb	0.1589	0.03802507	-0.659038
Rab7	0.1239	0.02323527	-0.658996
1110020C13Rik	0.0714	0.00640824	-0.658956
Pcolce	0.1712	0.04385644	-0.658745
Sqle	0.1385	0.0291748	-0.657637
Hfe	0.0697	0.0060397	-0.656812
Il15	0.0849	0.00973626	-0.656798
2010110K16Rik	0.1561	0.03668892	-0.655917
Mir16	0.1463	0.03222425	-0.655406
Plxna2	0.1707	0.04360299	-0.655355
Cd2	0.1094	0.01756902	-0.654365
Gpc3	0.1579	0.03737948	-0.654365
Pard6g	0.1129	0.0190346	-0.654326
LOC245828	0.0915	0.01165613	-0.652683
5830482G23Rik	0.0738	0.00694662	-0.652343
Psmb8	0.1061	0.01645263	-0.65189
Atp6v1g1	0.1104	0.0178987	-0.651503
Cap1	0.1076	0.01697672	-0.651363
Abcf2	0.1742	0.04525382	-0.650804
Rbl1	0.0697	0.00598532	-0.65024
Slc25a20	0.148	0.03322602	-0.650069
Csnk1d	0.1445	0.0314894	-0.648946
Cox5a	0.1523	0.03495755	-0.648894
Slamf9	0.1465	0.03241265	-0.648847
LOC381633	0.1811	0.04899681	-0.647537
Gart	0.1445	0.03147312	-0.6475
Tspan17	0.0563	0.00297685	-0.647179
Pvrl2	0.1452	0.03175815	-0.646623
2510048K03Rik	0.0677	0.00559194	-0.646284
Kctd6	0.1477	0.03290086	-0.645979
Gmip	0.1382	0.02902709	-0.645976
Morc2b	0.1639	0.04028599	-0.645557
Cbfb	0.0867	0.01023845	-0.644421
Hsd17b7	0.1687	0.04258817	-0.643839
Lip1	0.1046	0.01596127	-0.643327
Sumo3	0.1302	0.02588646	-0.642447
Ear2	0.1061	0.01647823	-0.642428
Slc25a11	0.1302	0.02593236	-0.642051
Ntng1	0.1479	0.03307829	-0.640555
Ift52	0.0609	0.00380974	-0.64004
4732481H14Rik	0.1093	0.01747981	-0.638848
A830039B04Rik	0.1039	0.0157523	-0.638421
Tmem9b	0.0662	0.00515186	-0.637677
Nme1	0.1153	0.01982709	-0.63745
Fcho1	0.1618	0.03955687	-0.635765
AA536743	0.1569	0.03704965	-0.634724
Plxdc1	0.1165	0.02033968	-0.634615
4930429A22Rik	0.1102	0.01780168	-0.63449
Mpra	0.1564	0.03681539	-0.634422
Rab11fip5	0.085	0.0098255	-0.632483
Rhod	0.1569	0.03705166	-0.630508
2310079N02Rik	0.0884	0.01071582	-0.630115
Dp1l1	0.1309	0.02625964	-0.630011
Chaf1b	0.1165	0.02031804	-0.62837
Srd5a2l	0.1131	0.0191443	-0.62683
Mod1	0.1492	0.03372509	-0.62558
Apex1	0.1612	0.03929234	-0.624939
1810008K03Rik	0.1386	0.02923185	-0.624862
9030607L17Rik	0.162	0.03960393	-0.623427
Eif1a	0.0985	0.0139537	-0.622434
3110005G23Rik	0.1566	0.03690006	-0.621353
Ap2a2	0.1245	0.02341299	-0.620774
Gsta4	0.1745	0.04555315	-0.619443
Anpep	0.1303	0.02595339	-0.617167
Rbm3	0.1745	0.04556466	-0.61704
LOC192758	0.1505	0.03432256	-0.616808
Cd63	0.1486	0.03345511	-0.615438
Pnp	0.1277	0.02468082	-0.615337
Btg1	0.1349	0.02775065	-0.614868
Rab11fip5	0.0768	0.00771286	-0.613025
Nras	0.0805	0.00866707	-0.612929
Eif4ebp1	0.145	0.03165688	-0.611245
Nav1	0.111	0.01815445	-0.610921
Tubb2b	0.1561	0.03670868	-0.609047
Gnai2	0.1024	0.0150716	-0.607833
4632417N05Rik	0.0819	0.00907797	-0.607388
B430214A04Rik	0.0954	0.01281437	-0.606905
Mapk6	0.0975	0.01344399	-0.606875
Gnptab	0.1189	0.02117215	-0.604845
Brp17	0.1756	0.04630916	-0.603283
Rarsl	0.1683	0.04228298	-0.602049
Rbm43	0.0987	0.01406901	-0.601888
Nav1	0.0899	0.01112941	-0.601733
Flt1	0.1183	0.02094152	-0.601422
Rarsl	0.1748	0.04578388	-0.600974
Dusp6	0.0879	0.01057831	-0.600516
Sap30	0.1094	0.01754993	-0.599755
Gns	0.0848	0.00971922	-0.599602
Neu1	0.0605	0.00376447	-0.599291
Parp14	0.1216	0.02219196	-0.599204
Pik4cb	0.0815	0.00895446	-0.599079
Rab8b	0.0895	0.01100502	-0.599032
Ebpl	0.0948	0.01268379	-0.598107
Atp6v0d1	0.1745	0.04542393	-0.597523
Aifm1	0.1343	0.02758717	-0.596836
Thy1	0.0963	0.01314206	-0.596754
Pkm2	0.1202	0.02166444	-0.59514
B2m	0.0921	0.01182579	-0.594968
Rab24	0.0999	0.01437703	-0.593535
Elp3	0.1464	0.03232064	-0.593247
Pald	0.0704	0.0061924	-0.59311
2610507B11Rik	0.1054	0.01620925	-0.590495
Iars2	0.0985	0.01393483	-0.590328
Arl4	0.1546	0.03602998	-0.590197
2610020H15Rik	0.0805	0.00868883	-0.589516
Ctsb	0.0689	0.00586256	-0.589114
Ctsh	0.1187	0.02108504	-0.588894
Ece1	0.1431	0.03096337	-0.584348
Mtch2	0.081	0.00877889	-0.582381
Ogt	0.148	0.03321081	-0.581583
Rab8b	0.1368	0.0285131	-0.580473
2400003C14Rik	0.1546	0.03613141	-0.579524
Trib2	0.1764	0.0465765	-0.576122
Coro2b	0.1367	0.02843374	-0.575377
Gbas	0.0921	0.01178448	-0.574875
Def6	0.1041	0.01582312	-0.574579
Gas6	0.0974	0.01339424	-0.573247
E130201N16Rik	0.1435	0.03116382	-0.572985
BC017133	0.1489	0.03359961	-0.572459
Eng	0.0698	0.00607955	-0.572363
Cyp4f16	0.1384	0.0290892	-0.57147
Rnf25	0.113	0.01911204	-0.570984
Tnip1	0.1458	0.03204323	-0.570524
Strn4	0.1176	0.0206946	-0.570507
B130017I01Rik	0.0985	0.01388724	-0.56918
Aggf1	0.0665	0.00530591	-0.566455
2410022L05Rik	0.1235	0.02299961	-0.565867
Arrdc4	0.1586	0.03764661	-0.565508
Necap2	0.1202	0.02167167	-0.564844
D16Bwg1547e	0.0882	0.01067244	-0.564306
Zc3hdc1	0.0945	0.01243143	-0.564041
Gnpda1	0.0987	0.01406025	-0.562982
Serhl	0.1104	0.01787748	-0.561263
Cox15	0.1027	0.01520388	-0.561113
Sall1	0.1823	0.0497376	-0.560784
Mrps31	0.1479	0.03305802	-0.559201
Arl2	0.1479	0.03309246	-0.558136
Ndufaf1	0.1663	0.0414523	-0.55744
Lamp2	0.0779	0.00793265	-0.557106
Slc6a17	0.0955	0.01292653	-0.555359
Dtnbp1	0.076	0.00748981	-0.554272
Nrp	0.122	0.02238887	-0.554063
Pcyt2	0.1728	0.0445746	-0.553742
B430104H02Rik	0.1822	0.04961906	-0.552319
Arl6ip1	0.0727	0.00661978	-0.551771
Sumo3	0.1165	0.02034353	-0.550922
B2m	0.0948	0.01266581	-0.550717
Usp3	0.1671	0.041771	-0.549412
Spnb2	0.1029	0.0154292	-0.549034
Gba	0.1197	0.02145349	-0.548269
Ralb	0.1003	0.01455936	-0.546783
Nagk	0.0959	0.01303888	-0.546414
Tbcd	0.0744	0.00713643	-0.546407
Vps24	0.1523	0.0349471	-0.543123
D15Ertd781e	0.0974	0.01337684	-0.542795
Ap1s1	0.1396	0.02974649	-0.542793
Ppm1f	0.1412	0.03034512	-0.54175
Map3k1	0.1294	0.02548113	-0.541717
B3galnt1	0.1057	0.01633611	-0.541675
Gltp	0.0777	0.00789531	-0.540789
Ahnak	0.1822	0.04957468	-0.540212
Trappc1	0.1366	0.0283925	-0.53965
Rfng	0.178	0.0473149	-0.539109
Pde1a	0.1498	0.03399095	-0.538908
Timm13a	0.1754	0.04612959	-0.538299
Eif4a1	0.1822	0.04962929	-0.53786
Pctk1	0.1129	0.01905734	-0.536969
Rdh12	0.1698	0.04325299	-0.53615
AW146242	0.1396	0.02979501	-0.534908
Serhl	0.0902	0.01118403	-0.534541
Nid1	0.0714	0.00643267	-0.533145
Mlp	0.1468	0.0325289	-0.533124
Ykt6	0.1694	0.04291405	-0.532216
Polr3k	0.1464	0.03230894	-0.530968
Acsl3	0.1592	0.03813124	-0.530892
Mtch2	0.1273	0.02450886	-0.530863
5430432M24Rik	0.129	0.0251685	-0.530112
Etfa	0.1333	0.02715795	-0.529059
Gpx4	0.1671	0.04177753	-0.528485
Tapbpl	0.1697	0.04315225	-0.525231
Cyb561d1	0.1687	0.0425472	-0.524326
D12Ertd553e	0.1589	0.03799422	-0.522476
Hibadh	0.1599	0.03854297	-0.521575
2610507B11Rik	0.099	0.01415333	-0.518164
Ebp	0.1211	0.02204245	-0.516528
Msrb2	0.1286	0.02507296	-0.514264
Tnip1	0.1019	0.01492315	-0.511281
Map3k7	0.1769	0.04683249	-0.511114
Gsta3	0.1786	0.04771307	-0.510132
Bckdk	0.1829	0.04999436	-0.508995
Hspa9	0.1479	0.0331424	-0.507484
Sel1h	0.0921	0.01180007	-0.507364
Fkbp10	0.1341	0.02751244	-0.506096
Gm2a	0.1026	0.01515181	-0.505684
Pgpep1	0.124	0.02327584	-0.505644
Arf3	0.1125	0.01881186	-0.505389
Oprs1	0.1683	0.04230247	-0.503819
Cbfb	0.1534	0.03553556	-0.503002
Tpd52	0.0896	0.0110394	-0.502987
Gars	0.1125	0.01874909	-0.502377
Ppp1r8	0.1028	0.01527746	-0.502335
Etfa	0.1788	0.04779085	-0.500938
Slc25a39	0.1557	0.03649365	-0.498837
Mgll	0.0931	0.01210999	-0.495998
Fen1	0.1791	0.04788995	-0.495624
Tmem9b	0.0985	0.01376263	-0.495141
Them2	0.1277	0.02476881	-0.495099
Lrrc57	0.1171	0.02054897	-0.495065
Ube1l	0.181	0.04888814	-0.49438
Stard8	0.0891	0.01092261	-0.494219
Ankrd40	0.1165	0.02033755	-0.491852
Elovl5	0.116	0.0201189	-0.490564
0610031J06Rik	0.1053	0.01614753	-0.490225
Bex2	0.1809	0.04883555	-0.489389
Tmem119	0.1814	0.04918419	-0.489197
Nrp	0.1435	0.03116385	-0.488142
1100001D10Rik	0.1331	0.02704935	-0.485726
Mgll	0.1525	0.03511683	-0.485064
Snap29	0.0999	0.01440905	-0.48395
Rab24	0.1006	0.01464531	-0.483699
Ap2s1	0.1367	0.02841128	-0.483432
0610031J06Rik	0.1197	0.02145119	-0.482801
Tbc1d13	0.1634	0.04012083	-0.481071
Cd63	0.1089	0.01737845	-0.477846
Ap1s1	0.1425	0.03073733	-0.474966
Nfs1	0.1458	0.03199691	-0.474808
Atpaf2	0.1793	0.04803726	-0.474115
Nadk	0.1306	0.02610006	-0.471554
Mocs2	0.1597	0.03843338	-0.471072
Apaf1	0.1322	0.02678892	-0.470394
Blcap	0.1315	0.02649434	-0.469124
Lsp1	0.137	0.02859709	-0.468607
2310007F21Rik	0.1504	0.03426803	-0.46657
Srd5a2l	0.1392	0.02954602	-0.465513
Atp6v1c1	0.1291	0.02529536	-0.464766
Letm1	0.1335	0.02722014	-0.463638
Tob1	0.1464	0.03229994	-0.463524
Tcf25	0.111	0.01822978	-0.463074
Arsa	0.1298	0.02564214	-0.462952
5830461H18Rik	0.1598	0.03846146	-0.462795
Mif	0.1611	0.03925175	-0.462636
Mbc2	0.1198	0.02158009	-0.460599
Card4	0.1826	0.04990133	-0.459914
Psen2	0.1371	0.02864127	-0.45977
Kif1b	0.1165	0.02026156	-0.459649
Hsd3b7	0.1811	0.04905445	-0.459158
BC065078	0.1464	0.03234563	-0.456259
Tspo	0.1466	0.03245084	-0.45542
2310009N05Rik	0.1607	0.03907912	-0.455073
Tmem150	0.1066	0.01662355	-0.45351
Snx9	0.1071	0.01681562	-0.453173
2900070E19Rik	0.1452	0.03173467	-0.452945
D030070L09Rik	0.1748	0.04584042	-0.45201
Drbp1	0.1479	0.03308683	-0.45129
Hip2	0.1129	0.01907502	-0.450837
Abca3	0.1087	0.01731746	-0.450766
Furin	0.1335	0.02725635	-0.447615
Ogt	0.1824	0.04977724	-0.44749
B230114J08Rik	0.1291	0.02535722	-0.444693
Eml3	0.1723	0.04434971	-0.443878
Atp5b	0.1781	0.04744053	-0.443594
Anxa5	0.1425	0.03070271	-0.44157
B930041F14Rik	0.1188	0.02113909	-0.44142
BC003479	0.178	0.04724289	-0.439946
G431001E03Rik	0.1386	0.02924817	-0.439473
Cib1	0.1745	0.04562952	-0.439004
Apoa1bp	0.1669	0.0416557	-0.43868
Rab24	0.1152	0.01980739	-0.437176
Echdc2	0.1566	0.03689614	-0.435159
Smpdl3a	0.141	0.03024798	-0.432451
Zdhhc13	0.1479	0.03311728	-0.432172
Atp6v0d1	0.1311	0.0263893	-0.431374
Mknk1	0.1116	0.01845265	-0.429966
Tgfbr2	0.1242	0.02332314	-0.429522
BC023957	0.1073	0.01687115	-0.428102
Abhd4	0.135	0.0278608	-0.425702
2310005E10Rik	0.1171	0.0205449	-0.424223
Dpp8	0.1253	0.02383163	-0.424168
Asah1	0.1271	0.02443051	-0.423831
2010110M21Rik	0.1479	0.03308442	-0.423363
Ndrg2	0.1697	0.04320237	-0.422482
Cox8a	0.1379	0.02889904	-0.421967
Slc25a24	0.161	0.03921466	-0.419773
Chd4	0.1361	0.02822699	-0.418745
Hbs1l	0.1308	0.02622776	-0.418565
Rnf135	0.1166	0.02039458	-0.416673
Srpk2	0.135	0.02786468	-0.415253
Dido1	0.1745	0.04539134	-0.415213
Sf3b2	0.1224	0.02250998	-0.414225
Actb	0.1546	0.03612036	-0.412483
Skap2	0.1653	0.04094033	-0.411216
Carhsp1	0.161	0.03921268	-0.409875
Pik4ca	0.1475	0.03285142	-0.409194
Shkbp1	0.1602	0.03869248	-0.406753
AW742319	0.1408	0.03012682	-0.406546
Hsd17b4	0.1807	0.04871918	-0.403988
Scamp1	0.1229	0.02270206	-0.401328
Hydin	0.1749	0.04591778	-0.397384
AU067744	0.16	0.03860654	-0.395927
2410001C21Rik	0.1515	0.03471661	-0.395148
1810073E21Rik	0.16	0.03858407	-0.393377
AU067744	0.1676	0.04193758	-0.393269
Urod	0.129	0.02519929	-0.390737
Fibp	0.1745	0.04546982	-0.390011
1810073G14Rik	0.1273	0.02454644	-0.389705
Vcp	0.1699	0.04330341	-0.386614
Khsrp	0.1625	0.03974272	-0.38634
Hdgf	0.1715	0.04398811	-0.386069
Vps53	0.177	0.04691267	-0.383797
Maob	0.1604	0.03885665	-0.382586
Erp29	0.1756	0.04630222	-0.38079
Rgl2	0.1573	0.03716521	-0.374749
Pmvk	0.148	0.03322838	-0.374725
Lman1	0.1527	0.03528781	-0.374237
D7Rp2e	0.1593	0.03828744	-0.374104
Atp6v1d	0.1589	0.03789696	-0.366431
D15Mgi27	0.138	0.02893694	-0.366236
Ssx2ip	0.1712	0.04383338	-0.364126
Tmem9b	0.173	0.04469911	-0.354815
Tubgcp2	0.1634	0.04008573	-0.354402
D7Rp2e	0.1703	0.04345302	-0.349917
BC016226	0.178	0.04723897	-0.332316
Alg3	0.1817	0.04927639	-0.330382
Snx14	0.1711	0.043796	0.340154
Col5a1	0.16	0.03860106	0.343131
Naca	0.1589	0.03783972	0.345008
Pygo2	0.1797	0.04817264	0.345633
Psma2	0.1822	0.04947313	0.347125
A430005L14Rik	0.1806	0.04868868	0.349976
Rpp38	0.1698	0.0432545	0.35053
Rhot1	0.1771	0.04697467	0.350617
Fto	0.1639	0.04029325	0.350916
Osgep	0.1686	0.04245269	0.351038
Drap1	0.1654	0.04109843	0.353474
Hoxa4	0.1732	0.04482302	0.355175
2310016E02Rik	0.1718	0.04410271	0.355179
Top3b	0.1764	0.04660224	0.355496
Npm3	0.1616	0.03944725	0.356324
Dmtf1	0.1647	0.040716	0.356934
Mdm2	0.1703	0.04345195	0.357066
9130404D08Rik	0.1754	0.04617605	0.358744
Tusc2	0.1745	0.04563692	0.360474
4930527D15Rik	0.1641	0.04041176	0.36092
Oaz1	0.1737	0.04505156	0.363674
4833439L19Rik	0.1463	0.03222947	0.365961
Rnf6	0.1671	0.04181278	0.367656
Rai12	0.1603	0.03875052	0.367818
1300018P11Rik	0.1592	0.03811831	0.369423
AU020772	0.1823	0.04972084	0.369823
BC031781	0.1784	0.04760646	0.370256
Cul4b	0.1756	0.04631665	0.372348
Siva	0.1822	0.04962643	0.372575
Thrap6	0.1615	0.03939828	0.372954
Dncl2a	0.1634	0.04007812	0.373806
Taf6	0.1669	0.04163359	0.373984
Hat1	0.1807	0.04873585	0.375065
6620401K05Rik	0.1811	0.04896094	0.375303
Gpr108	0.1479	0.0331341	0.376161
1600019D15Rik	0.1687	0.04251445	0.376335
AI847670	0.1645	0.04063878	0.376826
Toe1	0.1745	0.04554901	0.377339
Reps1	0.1525	0.03513332	0.377603
Dph2	0.1654	0.04108603	0.377615
Sec6l1	0.1604	0.03884706	0.378821
Hdgfrp2	0.1587	0.03775012	0.379806
Tomm22	0.147	0.03263626	0.380809
Bpy2ip1	0.1806	0.04870122	0.381173
4930467B06Rik	0.1604	0.03881326	0.382403
Sf3a1	0.1677	0.04199569	0.385177
Mrpl24	0.1507	0.03441158	0.385667
Ing4	0.1748	0.04582803	0.386363
Slc39a13	0.1293	0.02542314	0.386518
BC036313	0.1733	0.04495333	0.38735
Rbm38	0.1496	0.03390655	0.387399
Phf5a	0.1433	0.03106434	0.388584
Lgtn	0.1732	0.04483356	0.38863
2510009E07Rik	0.1516	0.0347404	0.390517
Creb3	0.1645	0.04064519	0.391249
Eef1b2	0.1525	0.0351984	0.391725
BC016423	0.1806	0.04861054	0.392042
Ubtf	0.1381	0.02898127	0.392986
6330580J24Rik	0.1273	0.02454596	0.393443
Mapkap1	0.1277	0.02466857	0.395935
Gpr180	0.1361	0.0282082	0.396288
Rpl30	0.1793	0.04799595	0.396506
3110009E18Rik	0.1607	0.03906301	0.396663
Sec61b	0.1826	0.04987654	0.398601
Ncaph2	0.1748	0.04581073	0.398809
Rela	0.1468	0.03253777	0.398831
Tax1bp1	0.1605	0.03896451	0.398987
Arl3	0.1385	0.02917385	0.400872
Clu	0.1585	0.037597	0.40147
Mapkbp1	0.1714	0.04393901	0.401485
Mphosph6	0.1531	0.03542942	0.401751
Mrpl49	0.1432	0.03100321	0.40284
Fut10	0.1756	0.04631143	0.405408
D11Ertd707e	0.1732	0.04488214	0.406189
Rnf31	0.173	0.04469629	0.406485
BC003993	0.1276	0.02464121	0.406617
Slc25a17	0.1479	0.03314529	0.407008
Maf1	0.1371	0.02863041	0.40756
Snrpd2	0.1294	0.02546797	0.407969
1700123O20Rik	0.135	0.0277902	0.407996
Pfkm	0.1306	0.0260838	0.408605
Dctn4	0.1494	0.03378545	0.409028
Jmjd2b	0.1732	0.04483737	0.409198
Srp9	0.1659	0.04129824	0.410633
Lsm3	0.1654	0.04106121	0.411234
Foxj2	0.1745	0.04561509	0.412394
BC006909	0.1244	0.02336972	0.413273
Hrb	0.1479	0.03309776	0.413678
Paf1	0.1722	0.04429182	0.414392
4732495E13Rik	0.1643	0.04054142	0.414455
Taf9b	0.1387	0.02927627	0.415616
5832424M12	0.1313	0.02644115	0.415939
Mnat1	0.1754	0.04615636	0.416815
Usp47	0.1696	0.04301174	0.417591
Isl1	0.1499	0.03404044	0.417854
E430039K05Rik	0.1687	0.04264286	0.417864
1200003C05Rik	0.1338	0.02739106	0.419432
Fgfr1op2	0.1322	0.02677586	0.419835
Stra13	0.1583	0.03753236	0.420253
9830124H08Rik	0.1729	0.04464931	0.420452
Prickle1	0.1684	0.04237271	0.420862
Plrg1	0.1192	0.0212848	0.421047
Manbal	0.1671	0.04169833	0.421357
Smad4	0.14	0.02990858	0.421731
Camta2	0.1309	0.0262821	0.421892
Atpbd3	0.1361	0.02820651	0.422515
Ankrd36	0.1726	0.0444962	0.423015
Rbm9	0.1589	0.03803528	0.423432
Tgfbr1	0.1487	0.03350259	0.423583
Atpif1	0.1804	0.04845645	0.423652
1110028E10Rik	0.122	0.02238996	0.425292
Rfc4	0.1589	0.03786176	0.425763
2810408M09Rik	0.1568	0.03695574	0.425925
Scoc	0.1671	0.04175669	0.426245
Rfxap	0.1677	0.04200784	0.426648
Thap11	0.1695	0.04295453	0.426942
Zfp187	0.169	0.04274747	0.428052
Rabgef1	0.135	0.02780808	0.428873
2410016F19Rik	0.1497	0.03395124	0.428973
Bclaf1	0.1826	0.04987905	0.429163
Nipbl	0.1772	0.04700091	0.429248
Rab28	0.16	0.03856861	0.429269
Ddx6	0.1463	0.03217939	0.429366
6430402H13Rik	0.1599	0.03855657	0.430591
1810047C23Rik	0.1723	0.0443416	0.431984
Dctn4	0.1546	0.03606249	0.432489
Upf3a	0.1625	0.03976367	0.433618
2700050P07Rik	0.1322	0.026755	0.433651
Iqcf3	0.1524	0.03502706	0.434785
Ryk	0.1448	0.03160688	0.435339
B230312A22Rik	0.1782	0.04747064	0.435801
Nup160	0.1057	0.01634175	0.437226
Mafg	0.1513	0.0346404	0.438403
Npm1	0.1272	0.02446945	0.438497
2610024G14Rik	0.1723	0.04436291	0.43897
2610009I02Rik	0.1368	0.02850735	0.439558
BC025546	0.1392	0.02953739	0.439953
Kctd6	0.1359	0.02810994	0.440638
Fbxo34	0.131	0.02631628	0.440848
Mark2	0.1271	0.02439771	0.441808
AI747699	0.119	0.02124354	0.442069
